facility,year,quarter,art_current,art_new
jutag,2015,1,4410,275
jutag,2015,2,4514,304
jutag,2015,3,4707,398
jutag,2015,4,4812,323
jutag,2016,1,4999,386
jutag,2016,2,5162,366
jutag,2016,3,5432,441
jutag,2016,4,5527,333
jutag,2017,1,5615,415
jutag,2017,2,5766,326
jutag,2017,3,5776,305
jutag,2017,4,5693,239
jutag,2018,1,5814,352
jutag,2018,2,5901,392
jutag,2018,3,6281,466
jutag,2018,4,5567,384
jutag,2019,1,5604,352
jutag,2019,2,5710,337
jutag,2019,3,5840,339
jutag,2019,4,5896,332
jutag,2020,1,5837,363
jutag,2020,2,5870,240
vofab,2015,1,3907,260
vofab,2015,2,4052,288
vofab,2015,3,4121,240
vofab,2015,4,4226,267
vofab,2016,1,4363,333
vofab,2016,2,4499,258
vofab,2016,3,4758,402
vofab,2016,4,4783,262
vofab,2017,1,4868,348
vofab,2017,2,4858,304
vofab,2017,3,4857,306
vofab,2017,4,4815,287
vofab,2018,1,5198,382
vofab,2018,2,5271,337
vofab,2018,3,5335,346
vofab,2018,4,5561,316
vofab,2019,1,5700,312
vofab,2019,2,5867,252
vofab,2019,3,6002,208
vofab,2019,4,6117,174
vofab,2020,2,6377,109
vofab,2020,1,6272,239
vilus,2015,1,3239,234
vilus,2015,2,3296,212
vilus,2015,3,3427,273
vilus,2015,4,3495,221
vilus,2016,1,3589,232
vilus,2016,2,3630,231
vilus,2016,3,3758,297
vilus,2016,4,3792,243
vilus,2017,1,3941,301
vilus,2017,2,3999,252
vilus,2017,3,4032,216
vilus,2017,4,4086,188
vilus,2018,1,4145,249
vilus,2018,2,4195,251
vilus,2018,3,4247,265
vilus,2018,4,4261,233
vilus,2019,1,4277,225
vilus,2019,2,4286,224
vilus,2019,3,4207,195
vilus,2019,4,4175,186
vilus,2020,2,4189,149
vilus,2020,1,4310,169
pohop,2015,1,3518,216
pohop,2015,2,3627,232
pohop,2015,3,3743,253
pohop,2015,4,3835,231
pohop,2016,1,3914,226
pohop,2016,2,4075,289
pohop,2016,3,4287,318
pohop,2016,4,4392,311
pohop,2017,1,4616,449
pohop,2017,2,4772,362
pohop,2017,3,4851,327
pohop,2017,4,4862,282
pohop,2018,1,5007,346
pohop,2018,2,5023,305
pohop,2018,3,5130,319
pohop,2018,4,5152,314
pohop,2019,1,5207,302
pohop,2019,2,5280,280
pohop,2019,3,5300,283
pohop,2019,4,5344,269
pohop,2020,2,5279,143
pohop,2020,1,5460,282
buzid,2015,1,1088,45
buzid,2015,2,1110,39
buzid,2015,3,1117,47
buzid,2015,4,1108,31
buzid,2016,1,1115,45
buzid,2016,2,1150,53
buzid,2016,3,1174,60
buzid,2016,4,1176,39
buzid,2017,1,1172,38
buzid,2017,2,1205,41
buzid,2017,3,1218,36
buzid,2017,4,1239,56
buzid,2018,1,1260,58
buzid,2018,2,1279,48
buzid,2018,3,1275,56
buzid,2018,4,1289,45
buzid,2019,1,1283,NA
buzid,2019,2,1304,33
buzid,2019,3,1314,45
buzid,2019,4,1312,41
buzid,2020,2,1338,43
buzid,2020,1,1326,53
fuhuf,2015,1,1064,79
fuhuf,2015,2,1108,78
fuhuf,2015,3,1193,46
fuhuf,2015,4,1140,45
fuhuf,2016,1,1157,47
fuhuf,2016,2,1188,68
fuhuf,2016,3,1233,55
fuhuf,2016,4,1242,48
fuhuf,2017,1,1258,39
fuhuf,2017,2,1267,49
fuhuf,2017,3,1270,28
fuhuf,2017,4,1197,46
fuhuf,2018,1,1271,46
fuhuf,2018,2,1287,41
fuhuf,2018,3,1307,57
fuhuf,2018,4,1290,30
fuhuf,2019,1,1298,35
fuhuf,2019,2,1285,26
fuhuf,2019,3,1289,41
fuhuf,2019,4,1297,46
fuhuf,2020,2,1294,39
fuhuf,2020,1,1336,42
kanih,2015,1,1154,55
kanih,2015,2,1162,27
kanih,2015,3,1175,44
kanih,2015,4,1214,64
kanih,2016,1,1280,65
kanih,2016,2,1307,39
kanih,2016,3,1352,64
kanih,2016,4,1387,57
kanih,2017,1,1395,52
kanih,2017,2,1413,39
kanih,2017,3,1458,47
kanih,2017,4,1472,56
kanih,2018,1,1484,62
kanih,2018,2,1461,45
kanih,2018,3,1355,57
kanih,2018,4,1476,143
kanih,2019,1,1590,109
kanih,2019,2,1631,98
kanih,2019,3,1679,48
kanih,2019,4,1554,40
kanih,2020,2,1509,35
kanih,2020,1,1464,61
luton,2015,1,5484,298
luton,2015,2,5620,288
luton,2015,3,5701,300
luton,2015,4,5728,235
luton,2016,1,5817,256
luton,2016,2,5876,236
luton,2016,3,5950,292
luton,2016,4,5942,221
luton,2017,1,5845,280
luton,2017,2,5940,277
luton,2017,3,6058,321
luton,2017,4,6205,328
luton,2018,1,6207,329
luton,2018,2,6219,257
luton,2018,3,6235,231
luton,2018,4,6247,289
luton,2019,1,6330,250
luton,2019,2,6377,265
luton,2019,3,6382,261
luton,2019,4,6475,239
luton,2020,2,6517,168
luton,2020,1,6532,253
zulot,2015,1,9660,487
zulot,2015,2,9813,411
zulot,2015,3,9754,366
zulot,2015,4,9888,347
zulot,2016,1,9946,314
zulot,2016,2,10164,527
zulot,2016,3,10334,454
zulot,2016,4,10405,381
zulot,2017,1,10522,397
